station_abbr;reference_timestamp;tre200s0;tre005s0;tresurs0;xchills0;ure200s0;tde200s0;pva200s0;prestas0;pp0qnhs0;pp0qffs0;ppz850s0;ppz700s0;fkl010z1;fve010z0;fkl010z0;dkl010z0;wcc006s0;fu3010z0;fkl010z3;fu3010z1;fu3010z3;rre150z0;htoauts0;gre000z0;ods000z0;oli000z0;olo000z0;osr000z0;sre000z0
SIA;01.02.2004 06:00;-11;;;;100;;2.6;;;;;;;;;;;;;;;;;;;;;;
SIA;01.02.2004 12:00;-1;;;;57;;3.2;;;;;;;;;;;;;;;;;;;;;;
SIA;01.02.2004 18:00;-3.1;;;;50;;2.4;;;;;;;;;;;;;;;;;;;;;;
SIA;02.02.2004 06:00;-11.3;;;;83;;2.1;;;;;;;;;;;;;;;;;;;;;;
SIA;02.02.2004 12:00;2.1;;;;37;;2.6;;;;;;;;;;;;;;;;;;;;;;
SIA;02.02.2004 18:00;-1.2;;;;57;;3.2;;;;;;;;;;;;;;;;;;;;;;
SIA;03.02.2004 06:00;-5.8;;;;89;;3.5;;;;;;;;;;;;;;;;;;;;;;
SIA;03.02.2004 12:00;6.1;;;;40;;3.8;;;;;;;;;;;;;;;;;;;;;;
SIA;03.02.2004 18:00;-0.2;;;;67;;4;;;;;;;;;;;;;;;;;;;;;;
SIA;04.02.2004 06:00;-7.2;;;;90;;3.2;;;;;;;;;;;;;;;;;;;;;;
SIA;04.02.2004 12:00;-3.8;;;;48;;2.2;;;;;;;;;;;;;;;;;;;;;;
SIA;04.02.2004 18:00;-0.5;;;;57;;3.4;;;;;;;;;;;;;;;;;;;;;;
SIA;05.02.2004 06:00;-8;;;;78;;2.6;;;;;;;;;;;;;;;;;;;;;;
SIA;05.02.2004 12:00;1.8;;;;43;;3;;;;;;;;;;;;;;;;;;;;;;
SIA;05.02.2004 18:00;-0.3;;;;64;;3.8;;;;;;;;;;;;;;;;;;;;;;
SIA;06.02.2004 06:00;-2;;;;62;;3.3;;;;;;;;;;;;;;;;;;;;;;
SIA;06.02.2004 12:00;3;;;;56;;4.2;;;;;;;;;;;;;;;;;;;;;;
SIA;06.02.2004 18:00;1.9;;;;58;;4.1;;;;;;;;;;;;;;;;;;;;;;
SIA;07.02.2004 06:00;-8;;;;96;;3.2;;;;;;;;;;;;;;;;;;;;;;
SIA;07.02.2004 12:00;-2;;;;100;;5.3;;;;;;;;;;;;;;;;;;;;;;
SIA;07.02.2004 18:00;-0.2;;;;63;;3.8;;;;;;;;;;;;;;;;;;;;;;
SIA;08.02.2004 06:00;-11.7;;;;87;;2.2;;;;;;;;;;;;;;;;;;;;;;
SIA;08.02.2004 12:00;-0.1;;;;36;;2.2;;;;;;;;;;;;;;;;;;;;;;
SIA;08.02.2004 18:00;-3;;;;53;;2.6;;;;;;;;;;;;;;;;;;;;;;
SIA;09.02.2004 06:00;-5.8;;;;47;;1.9;;;;;;;;;;;;;;;;;;;;;;
